Produto,Categoria,Preço Unitário (R$),Quantidade Vendida,Total de Vendas (R$),Data da Venda
Eletrônicos Method,Eletrônicos,3309.73,18,59575.14,2024-08-22
Vestuário Attack,Vestuário,2999.23,7,20994.61,2024-11-06
Eletrodomésticos Admit,Eletrodomésticos,2611.39,7,18279.73,2024-04-11
Móveis Take,Móveis,1187.03,9,10683.27,2024-05-16
Vestuário Hope,Vestuário,4866.98,1,4866.98,2024-01-29
Móveis Leader,Móveis,1512.9,6,9077.4,2024-10-08
Vestuário Week,Vestuário,2965.27,8,23722.16,2024-11-04
Eletrônicos Picture,Eletrônicos,4814.52,13,62588.76,2024-06-26
Brinquedos You,Brinquedos,2982.37,10,29823.7,2024-07-30
Eletrônicos Myself,Eletrônicos,1573.26,7,11012.82,2024-09-26
Eletrônicos Common,Eletrônicos,97.72,20,1954.4,2024-06-20
Brinquedos Resource,Brinquedos,2207.61,20,44152.2,2024-10-09
Vestuário Figure,Vestuário,1711.65,3,5134.95,2024-11-05
Vestuário Effect,Vestuário,2068.6,15,31029.0,2024-01-11
Móveis Their,Móveis,4730.65,11,52037.15,2024-08-07
Móveis Able,Móveis,1516.19,4,6064.76,2024-04-26
Móveis Difficult,Móveis,637.45,10,6374.5,2024-11-06
Eletrodomésticos Prove,Eletrodomésticos,2751.95,17,46783.15,2024-01-13
Brinquedos Spring,Brinquedos,1653.67,20,33073.4,2024-08-12
Brinquedos Popular,Brinquedos,1971.37,7,13799.59,2024-06-11
Móveis Per,Móveis,1345.78,13,17495.14,2024-02-22
Eletrodomésticos Father,Eletrodomésticos,3820.45,11,42024.95,2024-05-03
Brinquedos Seem,Brinquedos,1897.6,15,28464.0,2024-07-27
Eletrodomésticos Life,Eletrodomésticos,3912.66,13,50864.58,2024-02-20
Móveis According,Móveis,887.73,7,6214.11,2024-03-27
Móveis Order,Móveis,4732.04,11,52052.44,2024-06-13
Eletrônicos Big,Eletrônicos,4395.39,20,87907.8,2024-01-11
Eletrodomésticos Health,Eletrodomésticos,2838.83,7,19871.81,2024-03-17
Vestuário Sea,Vestuário,2262.48,19,42987.12,2024-11-09
Vestuário Outside,Vestuário,248.4,10,2484.0,2024-04-19
Móveis Arm,Móveis,1834.77,15,27521.55,2024-09-03
Eletrodomésticos Act,Eletrodomésticos,4165.55,20,83311.0,2024-11-23
Eletrodomésticos Everything,Eletrodomésticos,1394.28,12,16731.36,2024-05-28
Eletrônicos List,Eletrônicos,529.54,9,4765.86,2024-07-28
Brinquedos Sometimes,Brinquedos,497.86,5,2489.3,2024-11-12
Móveis Chance,Móveis,4259.62,6,25557.72,2024-08-24
Eletrodomésticos Building,Eletrodomésticos,398.83,2,797.66,2024-07-07
Eletrodomésticos Skill,Eletrodomésticos,289.25,5,1446.25,2024-06-25
Móveis Pressure,Móveis,2986.83,3,8960.49,2024-03-04
Eletrodomésticos Management,Eletrodomésticos,3298.0,12,39576.0,2024-08-23
Brinquedos Type,Brinquedos,805.98,17,13701.66,2024-02-10
Móveis Low,Móveis,4873.16,5,24365.8,2024-02-02
Eletrodomésticos Short,Eletrodomésticos,3853.97,7,26977.79,2024-05-09
Eletrônicos Wind,Eletrônicos,4776.89,20,95537.8,2024-03-22
Eletrodomésticos Total,Eletrodomésticos,4170.47,14,58386.58,2024-02-16
Vestuário Able,Vestuário,2262.51,5,11312.55,2024-11-24
Móveis New,Móveis,2798.68,15,41980.2,2024-02-10
Móveis Lawyer,Móveis,544.4,19,10343.6,2024-03-14
Eletrônicos Camera,Eletrônicos,995.05,4,3980.2,2024-01-20
Móveis Prove,Móveis,1376.64,6,8259.84,2024-06-28
Eletrônicos Pattern,Eletrônicos,3644.48,2,7288.96,2024-09-14
Móveis Democrat,Móveis,2278.44,11,25062.84,2024-05-04
Brinquedos Between,Brinquedos,2897.74,5,14488.7,2024-06-29
Vestuário Whom,Vestuário,2419.59,5,12097.95,2024-01-10
Vestuário Until,Vestuário,2498.28,19,47467.32,2024-02-17
Móveis Theory,Móveis,273.72,11,3010.92,2024-01-15
Móveis Control,Móveis,589.18,5,2945.9,2024-09-03
Brinquedos Single,Brinquedos,1876.53,12,22518.36,2024-03-04
Vestuário Operation,Vestuário,223.53,12,2682.36,2024-02-27
Eletrônicos Dinner,Eletrônicos,3082.02,20,61640.4,2024-03-15
Eletrodomésticos Ask,Eletrodomésticos,2699.56,1,2699.56,2024-11-06
Eletrodomésticos Edge,Eletrodomésticos,1502.76,10,15027.6,2024-10-25
Eletrônicos Put,Eletrônicos,4106.54,1,4106.54,2024-02-05
Móveis Front,Móveis,3064.9,9,27584.1,2024-02-22
Eletrônicos On,Eletrônicos,414.26,9,3728.34,2024-05-11
Móveis Development,Móveis,2613.24,3,7839.72,2024-08-06
Eletrônicos Power,Eletrônicos,4474.19,13,58164.47,2024-11-26
Vestuário Fast,Vestuário,4799.45,5,23997.25,2024-01-22
Eletrodomésticos Training,Eletrodomésticos,4569.32,14,63970.48,2024-06-20
Eletrônicos Base,Eletrônicos,3089.6,5,15448.0,2024-10-25
Móveis Hard,Móveis,4285.09,14,59991.26,2024-04-11
Vestuário Week,Vestuário,93.38,19,1774.22,2024-02-15
Móveis Travel,Móveis,453.71,4,1814.84,2024-07-14
Eletrônicos Deal,Eletrônicos,2310.83,19,43905.77,2024-09-28
Brinquedos Car,Brinquedos,4541.29,14,63578.06,2024-03-07
Eletrônicos Red,Eletrônicos,1194.03,15,17910.45,2024-11-21
Eletrônicos Lose,Eletrônicos,2147.5,12,25770.0,2024-11-09
Eletrodomésticos Government,Eletrodomésticos,3072.7,19,58381.3,2024-05-18
Eletrodomésticos Anything,Eletrodomésticos,586.23,13,7620.99,2024-05-28
Brinquedos Strategy,Brinquedos,2358.83,16,37741.28,2024-03-21
Eletrônicos Often,Eletrônicos,1563.77,20,31275.4,2024-01-02
Brinquedos Off,Brinquedos,876.69,17,14903.73,2024-09-05
Eletrodomésticos Travel,Eletrodomésticos,4394.64,13,57130.32,2024-02-13
Eletrodomésticos Fine,Eletrodomésticos,2600.33,1,2600.33,2024-10-15
Brinquedos Will,Brinquedos,3333.42,8,26667.36,2024-10-21
Móveis Team,Móveis,1532.08,2,3064.16,2024-06-11
Brinquedos Like,Brinquedos,4134.85,2,8269.7,2024-09-10
Eletrodomésticos Some,Eletrodomésticos,2776.49,6,16658.94,2024-02-01
Eletrodomésticos Up,Eletrodomésticos,2724.27,8,21794.16,2024-04-19
Eletrônicos Space,Eletrônicos,4072.72,14,57018.08,2024-05-09
Brinquedos Hot,Brinquedos,3762.15,14,52670.1,2024-02-26
Vestuário Conference,Vestuário,2490.71,10,24907.1,2024-05-05
Móveis Subject,Móveis,2539.99,8,20319.92,2024-01-31
Móveis Own,Móveis,1325.61,10,13256.1,2024-09-08
Vestuário Expect,Vestuário,328.46,18,5912.28,2024-02-17
Eletrônicos Traditional,Eletrônicos,1920.31,1,1920.31,2024-07-08
Brinquedos Individual,Brinquedos,2265.43,15,33981.45,2024-07-29
Vestuário Knowledge,Vestuário,4950.87,17,84164.79,2024-08-12
Vestuário Than,Vestuário,1437.63,9,12938.67,2024-09-15
Brinquedos Less,Brinquedos,2813.55,19,53457.45,2024-07-31
Móveis Spring,Móveis,4766.69,20,95333.8,2024-02-08
Eletrodomésticos Modern,Eletrodomésticos,70.91,7,496.37,2024-08-10
Móveis Tough,Móveis,4695.82,18,84524.76,2024-10-11
Eletrodomésticos Positive,Eletrodomésticos,4928.1,17,83777.7,2024-08-07
Móveis Be,Móveis,327.4,18,5893.2,2024-02-28
Móveis Night,Móveis,1505.92,15,22588.8,2024-04-14
Brinquedos Suggest,Brinquedos,800.65,8,6405.2,2024-09-16
Eletrodomésticos Protect,Eletrodomésticos,1541.22,6,9247.32,2024-06-08
Eletrodomésticos What,Eletrodomésticos,1555.0,14,21770.0,2024-11-03
Eletrônicos Performance,Eletrônicos,4908.28,12,58899.36,2024-02-17
Eletrodomésticos Here,Eletrodomésticos,2834.67,17,48189.39,2024-09-04
Eletrônicos Program,Eletrônicos,2086.92,1,2086.92,2024-05-24
Eletrodomésticos Ten,Eletrodomésticos,1889.03,7,13223.21,2024-05-25
Eletrônicos General,Eletrônicos,1699.6,19,32292.4,2024-04-25
Vestuário East,Vestuário,4309.83,6,25858.98,2024-09-20
Vestuário Simply,Vestuário,1318.52,14,18459.28,2024-04-12
Eletrônicos Bring,Eletrônicos,3765.87,9,33892.83,2024-09-22
Eletrodomésticos Onto,Eletrodomésticos,1232.77,5,6163.85,2024-01-01
Eletrodomésticos Year,Eletrodomésticos,2781.77,8,22254.16,2024-06-25
Móveis Democrat,Móveis,942.46,4,3769.84,2024-10-11
Móveis Election,Móveis,4690.96,6,28145.76,2024-01-18
Eletrodomésticos Hour,Eletrodomésticos,4658.32,12,55899.84,2024-11-03
Móveis So,Móveis,4784.48,11,52629.28,2024-01-16
Vestuário Daughter,Vestuário,313.01,7,2191.07,2024-01-17
Eletrodomésticos Scene,Eletrodomésticos,1133.56,11,12469.16,2024-09-27
Vestuário Friend,Vestuário,346.09,18,6229.62,2024-05-01
Vestuário Nature,Vestuário,3362.62,15,50439.3,2024-08-21
Brinquedos Inside,Brinquedos,881.49,1,881.49,2024-06-03
Móveis School,Móveis,497.22,3,1491.66,2024-10-05
Brinquedos Show,Brinquedos,3355.98,7,23491.86,2024-10-26
Eletrônicos Herself,Eletrônicos,3607.91,9,32471.19,2024-03-12
Vestuário Suggest,Vestuário,2603.28,19,49462.32,2024-02-17
Eletrodomésticos Door,Eletrodomésticos,940.16,7,6581.12,2024-05-02
Vestuário Trip,Vestuário,381.98,9,3437.82,2024-09-30
Eletrônicos Apply,Eletrônicos,3641.52,11,40056.72,2024-11-14
Eletrodomésticos Plant,Eletrodomésticos,4795.1,20,95902.0,2024-02-17
Eletrônicos Perform,Eletrônicos,3736.92,13,48579.96,2024-05-31
Móveis Main,Móveis,2823.49,5,14117.45,2024-04-10
Móveis Economy,Móveis,687.26,8,5498.08,2024-06-25
Eletrodomésticos Yes,Eletrodomésticos,3170.34,10,31703.4,2024-07-16
Móveis Life,Móveis,2163.69,1,2163.69,2024-07-17
Eletrodomésticos Street,Eletrodomésticos,540.56,17,9189.52,2024-02-17
Vestuário They,Vestuário,3278.15,2,6556.3,2024-03-21
Eletrônicos Think,Eletrônicos,2524.34,6,15146.04,2024-10-06
Brinquedos Finish,Brinquedos,3197.96,10,31979.6,2024-05-20
Vestuário Military,Vestuário,4040.91,2,8081.82,2024-06-27
Vestuário Stand,Vestuário,284.4,14,3981.6,2024-04-18
Vestuário Prevent,Vestuário,2945.28,14,41233.92,2024-04-07
Brinquedos Newspaper,Brinquedos,4636.98,14,64917.72,2024-09-02
Vestuário House,Vestuário,2204.26,16,35268.16,2024-04-09
Eletrodomésticos Authority,Eletrodomésticos,2099.0,9,18891.0,2024-03-29
Eletrônicos Left,Eletrônicos,4827.32,7,33791.24,2024-05-23
Móveis Why,Móveis,2004.58,18,36082.44,2024-08-24
Vestuário Enter,Vestuário,1755.73,19,33358.87,2024-05-30
Eletrônicos Significant,Eletrônicos,4083.42,17,69418.14,2024-10-27
Móveis Effect,Móveis,2465.08,1,2465.08,2024-11-10
Móveis Find,Móveis,453.79,12,5445.48,2024-04-19
Eletrodomésticos Receive,Eletrodomésticos,212.59,3,637.77,2024-08-19
Eletrônicos Them,Eletrônicos,2289.48,19,43500.12,2024-09-14
Móveis Among,Móveis,2997.81,11,32975.91,2024-04-01
Móveis Leader,Móveis,4734.69,19,89959.11,2024-09-10
Eletrônicos Exist,Eletrônicos,2673.17,5,13365.85,2024-05-21
Brinquedos We,Brinquedos,3221.66,11,35438.26,2024-03-18
Eletrodomésticos Thousand,Eletrodomésticos,4443.79,8,35550.32,2024-07-27
Móveis Spring,Móveis,2523.81,10,25238.1,2024-07-21
Eletrônicos Remember,Eletrônicos,3599.83,10,35998.3,2024-10-19
Vestuário However,Vestuário,3277.06,13,42601.78,2024-07-22
Eletrodomésticos Else,Eletrodomésticos,1830.98,9,16478.82,2024-08-02
Eletrônicos Brother,Eletrônicos,2231.05,10,22310.5,2024-03-24
Vestuário Contain,Vestuário,4679.05,19,88901.95,2024-07-17
Móveis Voice,Móveis,2633.43,18,47401.74,2024-02-12
Eletrodomésticos Relationship,Eletrodomésticos,1219.72,9,10977.48,2024-01-16
Móveis Table,Móveis,1751.01,3,5253.03,2024-06-17
Eletrônicos Huge,Eletrônicos,123.24,15,1848.6,2024-07-24
Eletrônicos Speech,Eletrônicos,2048.81,14,28683.34,2024-05-20
Móveis Big,Móveis,1777.87,4,7111.48,2024-04-03
Móveis Concern,Móveis,1245.69,14,17439.66,2024-01-06
Móveis Benefit,Móveis,3048.4,11,33532.4,2024-06-26
Eletrônicos Threat,Eletrônicos,75.49,14,1056.86,2024-06-19
Brinquedos And,Brinquedos,809.2,9,7282.8,2024-07-13
Vestuário Serious,Vestuário,810.27,2,1620.54,2024-11-08
Eletrônicos She,Eletrônicos,1889.97,1,1889.97,2024-04-01
Brinquedos Amount,Brinquedos,3339.02,20,66780.4,2024-02-25
Brinquedos Hold,Brinquedos,705.74,6,4234.44,2024-05-26
Móveis Use,Móveis,1777.43,17,30216.31,2024-07-28
Eletrodomésticos Life,Eletrodomésticos,3007.15,16,48114.4,2024-09-29
Móveis Use,Móveis,2876.43,8,23011.44,2024-02-14
Vestuário Term,Vestuário,3806.48,2,7612.96,2024-02-14
Brinquedos Tonight,Brinquedos,2594.69,7,18162.83,2024-07-18
Eletrônicos Pm,Eletrônicos,2055.94,10,20559.4,2024-01-23
Eletrodomésticos During,Eletrodomésticos,3523.9,1,3523.9,2024-11-05
Vestuário Six,Vestuário,540.63,7,3784.41,2024-10-17
Eletrônicos Brother,Eletrônicos,2559.12,20,51182.4,2024-09-29
Eletrônicos Hour,Eletrônicos,855.39,13,11120.07,2024-05-27
Brinquedos Explain,Brinquedos,4594.51,20,91890.2,2024-03-24
Brinquedos Worker,Brinquedos,1583.12,5,7915.6,2024-07-30
Eletrodomésticos Able,Eletrodomésticos,4824.89,8,38599.12,2024-11-19
Vestuário Happen,Vestuário,825.37,11,9079.07,2024-09-30
Eletrodomésticos Cause,Eletrodomésticos,595.66,19,11317.54,2024-10-25
Brinquedos Tough,Brinquedos,3161.2,15,47418.0,2024-04-07
Vestuário Language,Vestuário,3353.28,6,20119.68,2024-05-02
Eletrodomésticos Good,Eletrodomésticos,3893.77,7,27256.39,2024-06-05
Móveis Property,Móveis,3149.19,8,25193.52,2024-10-29
Vestuário Campaign,Vestuário,459.76,17,7815.92,2024-10-17
Brinquedos Republican,Brinquedos,2917.1,13,37922.3,2024-01-28
Eletrônicos Page,Eletrônicos,365.9,9,3293.1,2024-10-29
Vestuário Final,Vestuário,595.07,9,5355.63,2024-04-29
Vestuário Serious,Vestuário,1800.21,7,12601.47,2024-01-06
Vestuário Both,Vestuário,2689.31,10,26893.1,2024-10-05
Eletrodomésticos Goal,Eletrodomésticos,1565.21,4,6260.84,2024-08-20
Móveis Factor,Móveis,943.28,16,15092.48,2024-09-01
Móveis Whether,Móveis,212.17,4,848.68,2024-04-06
Vestuário Board,Vestuário,4545.48,1,4545.48,2024-04-29
Vestuário Ready,Vestuário,334.2,10,3342.0,2024-04-26
Vestuário She,Vestuário,3832.14,15,57482.1,2024-11-07
Vestuário Foot,Vestuário,2230.13,15,33451.95,2024-10-30
Vestuário Make,Vestuário,210.72,19,4003.68,2024-02-16
Eletrônicos Section,Eletrônicos,3543.71,6,21262.26,2024-02-21
Brinquedos Free,Brinquedos,4099.77,11,45097.47,2024-02-15
Brinquedos Happy,Brinquedos,1865.89,13,24256.57,2024-01-26
Vestuário Operation,Vestuário,136.75,18,2461.5,2024-02-19
Brinquedos Available,Brinquedos,2412.77,4,9651.08,2024-09-26
Móveis Figure,Móveis,203.55,5,1017.75,2024-10-19
Vestuário Six,Vestuário,1582.85,4,6331.4,2024-03-16
Móveis Provide,Móveis,4647.82,13,60421.66,2024-10-19
Vestuário Truth,Vestuário,2242.81,6,13456.86,2024-04-15
Móveis Rather,Móveis,3573.21,13,46451.73,2024-08-04
Vestuário Peace,Vestuário,2835.22,18,51033.96,2024-04-29
Móveis Keep,Móveis,3417.09,5,17085.45,2024-04-23
Vestuário Prepare,Vestuário,3137.3,8,25098.4,2024-01-24
Móveis Prevent,Móveis,396.47,7,2775.29,2024-11-04
Móveis Picture,Móveis,2159.91,3,6479.73,2024-01-06
Móveis Fly,Móveis,1901.19,2,3802.38,2024-07-25
Eletrodomésticos Hope,Eletrodomésticos,4128.72,12,49544.64,2024-11-22
Brinquedos Keep,Brinquedos,3397.8,9,30580.2,2024-04-02
Brinquedos Democratic,Brinquedos,3064.91,12,36778.92,2024-09-21
Móveis Bad,Móveis,2308.77,20,46175.4,2024-01-26
Brinquedos Record,Brinquedos,1812.69,13,23564.97,2024-08-02
Eletrodomésticos For,Eletrodomésticos,2430.64,2,4861.28,2024-01-28
Eletrônicos True,Eletrônicos,2490.72,13,32379.36,2024-06-24
Brinquedos Idea,Brinquedos,1503.14,9,13528.26,2024-05-15
Móveis Where,Móveis,3556.18,11,39117.98,2024-06-16
Eletrônicos Third,Eletrônicos,3713.28,6,22279.68,2024-10-11
Eletrodomésticos Job,Eletrodomésticos,460.13,18,8282.34,2024-09-26
Eletrodomésticos Enjoy,Eletrodomésticos,2584.62,13,33600.06,2024-08-07
Móveis Large,Móveis,4085.0,4,16340.0,2024-05-28
Eletrodomésticos Recent,Eletrodomésticos,1527.74,14,21388.36,2024-02-07
Vestuário Spring,Vestuário,466.35,10,4663.5,2024-01-07
Eletrodomésticos Once,Eletrodomésticos,3482.91,8,27863.28,2024-03-28
Eletrônicos Perform,Eletrônicos,470.86,11,5179.46,2024-08-31
Móveis Think,Móveis,4621.93,8,36975.44,2024-02-26
Móveis Example,Móveis,4940.38,8,39523.04,2024-04-25
Vestuário Most,Vestuário,270.13,13,3511.69,2024-05-17
Eletrodomésticos Time,Eletrodomésticos,4907.57,8,39260.56,2024-01-21
Móveis Way,Móveis,4515.46,1,4515.46,2024-10-07
Eletrônicos Health,Eletrônicos,137.58,5,687.9,2024-08-24
Eletrodomésticos Front,Eletrodomésticos,466.13,8,3729.04,2024-04-16
Vestuário High,Vestuário,2683.52,5,13417.6,2024-06-06
Eletrodomésticos Land,Eletrodomésticos,3918.68,1,3918.68,2024-09-24
Eletrodomésticos Accept,Eletrodomésticos,815.71,20,16314.2,2024-10-30
Eletrodomésticos Reveal,Eletrodomésticos,293.53,11,3228.83,2024-11-08
Brinquedos Arrive,Brinquedos,228.01,12,2736.12,2024-02-23
Vestuário Live,Vestuário,97.0,12,1164.0,2024-01-25
Brinquedos Occur,Brinquedos,4523.0,6,27138.0,2024-08-25
Eletrônicos Walk,Eletrônicos,2826.34,14,39568.76,2024-10-13
Brinquedos Beyond,Brinquedos,4994.98,10,49949.8,2024-06-05
Eletrodomésticos Cup,Eletrodomésticos,1803.89,19,34273.91,2024-05-08
Móveis Conference,Móveis,4613.87,13,59980.31,2024-01-13
Eletrônicos Shake,Eletrônicos,1229.16,8,9833.28,2024-06-06
Eletrônicos Democrat,Eletrônicos,4460.98,9,40148.82,2024-03-13
Móveis Less,Móveis,767.91,6,4607.46,2024-06-05
Brinquedos Civil,Brinquedos,1366.94,14,19137.16,2024-06-19
Vestuário Well,Vestuário,349.03,9,3141.27,2024-10-26
Eletrodomésticos According,Eletrodomésticos,1022.34,9,9201.06,2024-09-22
Vestuário He,Vestuário,4958.35,11,54541.85,2024-01-11
Brinquedos Score,Brinquedos,2008.93,17,34151.81,2024-02-14
Vestuário Item,Vestuário,1065.57,18,19180.26,2024-05-03
Móveis Why,Móveis,2594.66,14,36325.24,2024-01-20
Móveis Admit,Móveis,4720.19,2,9440.38,2024-08-19
Eletrônicos Anything,Eletrônicos,3580.89,13,46551.57,2024-06-06
Eletrônicos Could,Eletrônicos,2208.72,13,28713.36,2024-07-25
Móveis To,Móveis,762.26,19,14482.94,2024-04-21
Eletrodomésticos Minute,Eletrodomésticos,368.9,14,5164.6,2024-06-12
Eletrônicos Rock,Eletrônicos,124.97,15,1874.55,2024-05-05
Brinquedos Top,Brinquedos,1565.48,15,23482.2,2024-07-02
Eletrônicos Why,Eletrônicos,2962.41,5,14812.05,2024-06-28
Eletrônicos Pay,Eletrônicos,553.95,13,7201.35,2024-08-08
Móveis Space,Móveis,2619.31,9,23573.79,2024-06-03
Eletrodomésticos Address,Eletrodomésticos,3705.99,8,29647.92,2024-09-15
Móveis Upon,Móveis,3149.41,1,3149.41,2024-02-14
Eletrônicos Someone,Eletrônicos,2633.22,15,39498.3,2024-01-21
Vestuário Generation,Vestuário,2151.27,3,6453.81,2024-09-15
Vestuário Deep,Vestuário,3189.96,19,60609.24,2024-06-28
Eletrônicos Card,Eletrônicos,2628.14,10,26281.4,2024-07-21
Vestuário Party,Vestuário,3346.49,18,60236.82,2024-01-18
Brinquedos Parent,Brinquedos,4228.51,16,67656.16,2024-07-20
Brinquedos Something,Brinquedos,4978.02,15,74670.3,2024-05-19
Eletrônicos Player,Eletrônicos,3388.37,1,3388.37,2024-08-14
Vestuário Enter,Vestuário,1160.76,18,20893.68,2024-05-25
Brinquedos Front,Brinquedos,1139.24,5,5696.2,2024-01-17
Vestuário Actually,Vestuário,1785.31,8,14282.48,2024-10-13
Brinquedos Itself,Brinquedos,4718.33,13,61338.29,2024-09-17
Móveis Candidate,Móveis,3364.81,13,43742.53,2024-07-16
Móveis Improve,Móveis,4231.99,10,42319.9,2024-10-27
Móveis Study,Móveis,1799.92,11,19799.12,2024-06-15
Vestuário Also,Vestuário,4897.15,4,19588.6,2024-08-06
Eletrônicos Animal,Eletrônicos,4268.05,7,29876.35,2024-11-26
Eletrônicos Several,Eletrônicos,2855.3,11,31408.3,2024-02-16
Móveis You,Móveis,2417.2,15,36258.0,2024-09-20
Eletrodomésticos Participant,Eletrodomésticos,4925.55,13,64032.15,2024-06-07
Eletrodomésticos Hand,Eletrodomésticos,346.62,7,2426.34,2024-05-11
Eletrônicos Easy,Eletrônicos,1287.0,13,16731.0,2024-03-08
Eletrônicos Single,Eletrônicos,1301.94,3,3905.82,2024-07-10
Móveis Affect,Móveis,704.36,13,9156.68,2024-09-22
Móveis Recent,Móveis,4542.76,17,77226.92,2024-04-14
Móveis Benefit,Móveis,1954.82,7,13683.74,2024-05-08
Vestuário Exactly,Vestuário,1439.02,15,21585.3,2024-02-22
Vestuário Deal,Vestuário,3781.75,17,64289.75,2024-09-18
Eletrônicos Compare,Eletrônicos,4790.76,12,57489.12,2024-05-10
Brinquedos International,Brinquedos,2951.8,10,29518.0,2024-01-15
Eletrodomésticos Example,Eletrodomésticos,59.99,13,779.87,2024-03-14
Eletrônicos It,Eletrônicos,1513.49,14,21188.86,2024-02-29
Eletrônicos National,Eletrônicos,1192.09,11,13112.99,2024-10-25
Eletrodomésticos Health,Eletrodomésticos,2524.88,11,27773.68,2024-08-26
Móveis Treatment,Móveis,3569.1,11,39260.1,2024-04-02
Eletrônicos Compare,Eletrônicos,1190.64,7,8334.48,2024-06-11
Vestuário Stay,Vestuário,1571.61,19,29860.59,2024-05-26
Vestuário Property,Vestuário,2405.58,14,33678.12,2024-06-03
Brinquedos Sometimes,Brinquedos,4822.77,19,91632.63,2024-07-11
Móveis Forget,Móveis,2850.13,10,28501.3,2024-11-22
Brinquedos Benefit,Brinquedos,2701.38,3,8104.14,2024-02-25
Eletrodomésticos Through,Eletrodomésticos,4477.59,3,13432.77,2024-03-23
Móveis Free,Móveis,3664.15,10,36641.5,2024-04-15
Móveis Forget,Móveis,3874.0,2,7748.0,2024-10-06
Eletrodomésticos Them,Eletrodomésticos,942.1,10,9421.0,2024-01-21
Eletrodomésticos Sense,Eletrodomésticos,1743.87,19,33133.53,2024-03-24
Eletrodomésticos Artist,Eletrodomésticos,4802.46,8,38419.68,2024-09-14
Móveis Soon,Móveis,3468.11,1,3468.11,2024-04-10
Eletrônicos Second,Eletrônicos,2517.65,15,37764.75,2024-10-30
Eletrônicos Above,Eletrônicos,2471.39,7,17299.73,2024-03-10
Vestuário Matter,Vestuário,525.13,11,5776.43,2024-01-29
Móveis Gun,Móveis,3028.34,13,39368.42,2024-06-09
Eletrodomésticos Scientist,Eletrodomésticos,846.95,17,14398.15,2024-05-14
Brinquedos Different,Brinquedos,491.55,16,7864.8,2024-01-10
Vestuário Method,Vestuário,244.53,1,244.53,2024-02-27
Eletrodomésticos Fact,Eletrodomésticos,2768.78,6,16612.68,2024-06-23
Móveis Hot,Móveis,472.12,5,2360.6,2024-11-02
Vestuário Factor,Vestuário,2139.86,6,12839.16,2024-11-09
Móveis Movement,Móveis,4514.78,9,40633.02,2024-04-11
Eletrodomésticos Now,Eletrodomésticos,3718.86,1,3718.86,2024-01-05
Eletrônicos Itself,Eletrônicos,600.13,18,10802.34,2024-08-21
Brinquedos Resource,Brinquedos,1273.22,13,16551.86,2024-07-31
Brinquedos Republican,Brinquedos,3726.37,1,3726.37,2024-03-20
Brinquedos Pattern,Brinquedos,2541.71,14,35583.94,2024-11-16
Eletrodomésticos Individual,Eletrodomésticos,4160.82,16,66573.12,2024-03-17
Móveis Either,Móveis,1686.44,2,3372.88,2024-09-01
Vestuário If,Vestuário,2010.74,20,40214.8,2024-05-26
Vestuário Else,Vestuário,1655.36,15,24830.4,2024-06-22
Brinquedos Customer,Brinquedos,457.59,19,8694.21,2024-08-12
Móveis Effect,Móveis,4277.69,5,21388.45,2024-03-27
Eletrônicos Among,Eletrônicos,4692.3,1,4692.3,2024-06-02
Vestuário Base,Vestuário,325.09,12,3901.08,2024-10-24
Vestuário Sign,Vestuário,1502.05,17,25534.85,2024-05-14
Eletrodomésticos Experience,Eletrodomésticos,1734.36,7,12140.52,2024-06-12
Eletrônicos Soldier,Eletrônicos,4780.21,3,14340.63,2024-06-17
Eletrodomésticos Paper,Eletrodomésticos,484.87,2,969.74,2024-07-23
Eletrodomésticos Campaign,Eletrodomésticos,398.5,10,3985.0,2024-03-09
Brinquedos Knowledge,Brinquedos,3639.82,6,21838.92,2024-07-22
Eletrônicos Increase,Eletrônicos,1453.91,4,5815.64,2024-04-25
Brinquedos Wait,Brinquedos,2190.61,3,6571.83,2024-09-01
Eletrônicos Lot,Eletrônicos,4972.74,8,39781.92,2024-07-28
Eletrônicos Hold,Eletrônicos,2118.71,11,23305.81,2024-11-20
Brinquedos Specific,Brinquedos,1100.51,10,11005.1,2024-10-15
Móveis Budget,Móveis,2664.65,1,2664.65,2024-06-07
Eletrodomésticos System,Eletrodomésticos,1986.92,11,21856.12,2024-05-21
Vestuário Human,Vestuário,4696.23,19,89228.37,2024-02-22
Brinquedos Have,Brinquedos,2518.97,9,22670.73,2024-03-24
Vestuário Hard,Vestuário,1268.88,13,16495.44,2024-08-29
Brinquedos Campaign,Brinquedos,4579.46,16,73271.36,2024-09-26
Eletrodomésticos Rock,Eletrodomésticos,772.26,13,10039.38,2024-05-06
Vestuário Page,Vestuário,2946.09,11,32406.99,2024-09-12
Vestuário Door,Vestuário,4083.96,2,8167.92,2024-03-13
Vestuário Manage,Vestuário,116.01,7,812.07,2024-03-13
Brinquedos Set,Brinquedos,1896.82,7,13277.74,2024-10-19
Eletrodomésticos Good,Eletrodomésticos,2906.97,6,17441.82,2024-05-01
Vestuário Yet,Vestuário,4359.93,20,87198.6,2024-05-16
Eletrodomésticos Gas,Eletrodomésticos,1553.89,18,27970.02,2024-07-25
Brinquedos Write,Brinquedos,4167.47,14,58344.58,2024-03-08
Eletrônicos Response,Eletrônicos,1201.77,19,22833.63,2024-02-28
Eletrônicos Note,Eletrônicos,2845.64,8,22765.12,2024-07-01
Eletrônicos Be,Eletrônicos,2228.17,3,6684.51,2024-01-06
